Date,Price,Volume,Open,High,Low
10/20/2022,85.98,12307,85.94,88.17,85.22
10/19/2022,85.55,38236,83.69,86.20,82.59
10/18/2022,82.82,83685,85.70,86.51,82.09
10/17/2022,85.46,143488,85.59,87.12,84.61
10/14/2022,85.61,216029,89.27,89.73,85.20
10/13/2022,89.11,267171,87.08,89.66,85.56
10/12/2022,87.27,303948,88.67,90.07,86.28
10/11/2022,89.35,295289,91.14,91.35,87.91
10/10/2022,91.13,260430,93.48,93.64,90.54
10/07/2022,92.64,385917,88.93,93.31,92.15
10/06/2022,88.45,216395,88.08,89.07,87.04
10/05/2022,87.76,312995,86.37,88.42,85.42
10/04/2022,86.52,281912,83.22,86.98,86.03
10/03/2022,83.63,267875,81.02,84.56,81.34
09/30/2022,79.49,237146,81.74,79.97,79.39
09/29/2022,81.23,269124,81.90,82.94,80.77
09/28/2022,82.15,310455,78.08,82.34,80.00
09/27/2022,78.50,271109,76.47,79.51,77.31
09/26/2022,76.71,269230,79.23,77.27,76.25
09/23/2022,78.74,316160,83.54,79.45,78.04
09/22/2022,83.49,287041,83.07,84.06,82.97
09/21/2022,82.94,325553,84.25,84.23,82.49
09/20/2022,84.45,17105,85.61,84.90,84.00
09/19/2022,85.73,34430,85.21,86.22,82.10
09/16/2022,85.11,72566,85.16,86.59,84.27
09/15/2022,85.10,217557,88.91,85.90,84.75
09/14/2022,88.48,296050,87.94,90.19,88.02
09/13/2022,87.31,315599,88.09,87.97,86.61
09/12/2022,87.78,245965,86.25,88.75,87.36
09/09/2022,86.79,265221,82.80,87.20,82.71
09/08/2022,83.54,307373,81.91,83.38,82.46
09/07/2022,81.94,364766,86.93,83.91,81.50
09/06/2022,86.88,392625,86.50,87.30,86.27
09/02/2022,86.87,256223,86.56,89.66,86.35
09/01/2022,86.61,287536,88.83,89.63,85.98
08/31/2022,89.55,327567,92.31,91.15,88.71
08/30/2022,91.64,369652,96.90,93.51,90.54
08/29/2022,97.01,269210,92.96,97.37,92.29
08/26/2022,93.06,271721,93.06,94.02,91.08
08/25/2022,92.52,267455,95.35,95.76,92.29
08/24/2022,94.89,309259,93.78,95.40,92.79
08/23/2022,93.74,272323,90.55,94.22,90.42
08/22/2022,90.23,13712,89.65,91.26,86.60
08/19/2022,90.77,34249,90.39,92.09,88.38
08/18/2022,90.50,65024,87.39,91.46,87.32
08/17/2022,88.11,207973,87.10,89.16,85.88
08/16/2022,86.53,281963,87.93,90.65,85.73
08/15/2022,89.41,255757,91.94,92.10,86.82
08/12/2022,92.09,244514,94.09,94.81,91.16
08/11/2022,94.34,302809,91.55,95.05,91.24
08/10/2022,91.93,339892,90.51,92.43,87.66
08/09/2022,90.50,292332,90.69,92.65,89.05
08/08/2022,90.76,292550,88.46,90.89,87.22
08/05/2022,89.01,311255,88.06,90.76,87.01
08/04/2022,88.54,316209,90.95,91.33,87.55
08/03/2022,90.66,373564,93.83,96.57,90.38
08/02/2022,94.42,306452,93.75,96.47,93.38
08/01/2022,93.89,348791,98.46,94.38,93.20
